Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,Mean IoU,Mean Dice Score,Per-class IoU,Per-class Dice
1,0.9289094294820514,0.8068147699038187,"tensor(0.9143, device='cuda:0')",0.273640900850296,0.31460386514663696,"[0.9162538647651672, 0.17830975353717804, 0.0, 0.0]","[0.956187903881073, 0.30222752690315247, 0.0, 0.0]"
2,0.7423048138618469,0.7270969947179159,"tensor(0.9249, device='cuda:0')",0.28390634059906006,0.32649967074394226,"[0.9278347492218018, 0.20779062807559967, 0.0, 0.0]","[0.9624840617179871, 0.3435145914554596, 0.0, 0.0]"
3,0.7155660833631243,0.7004335787561204,"tensor(0.9295, device='cuda:0')",0.2958107590675354,0.3414590656757355,"[0.9320922493934631, 0.25115081667900085, 0.0, 0.0]","[0.9647676944732666, 0.4010685980319977, 0.0, 0.0]"
4,0.7031758921486991,0.6896311375829909,"tensor(0.9420, device='cuda:0')",0.3048221468925476,0.35029107332229614,"[0.9456244707107544, 0.27366411685943604, 0.0, 0.0]","[0.9720147252082825, 0.4291495382785797, 0.0, 0.0]"
5,0.6992610028811863,0.6887597242991129,"tensor(0.9362, device='cuda:0')",0.30271008610725403,0.34862083196640015,"[0.9405070543289185, 0.27033329010009766, 0.0, 0.0]","[0.9693153500556946, 0.4251679480075836, 0.0, 0.0]"
6,0.6944024613925389,0.6905668510331048,"tensor(0.9542, device='cuda:0')",0.3046683669090271,0.3476056158542633,"[0.9561164975166321, 0.2625569701194763, 0.0, 0.0]","[0.9775364398956299, 0.4128860533237457, 0.0, 0.0]"
7,0.687822789805276,0.6728175746070014,"tensor(0.9491, device='cuda:0')",0.3140172064304352,0.3602062463760376,"[0.9526594281196594, 0.3034094274044037, 0.0, 0.0]","[0.9757190346717834, 0.46510595083236694, 0.0, 0.0]"
8,0.6838899561337062,0.671830972035726,"tensor(0.9529, device='cuda:0')",0.31354576349258423,0.35876116156578064,"[0.9570519328117371, 0.29713115096092224, 0.0, 0.0]","[0.9780272245407104, 0.4570174217224121, 0.0, 0.0]"
9,0.6787631477628435,0.6697200735410055,"tensor(0.9466, device='cuda:0')",0.3122701346874237,0.3583609461784363,"[0.9504292011260986, 0.2986513376235962, 0.0, 0.0]","[0.9745667576789856, 0.45887699723243713, 0.0, 0.0]"
10,0.6720652495111737,0.6885298291842142,"tensor(0.9565, device='cuda:0')",0.3076619803905487,0.351046621799469,"[0.9589872360229492, 0.2716606557369232, 0.0, 0.0]","[0.9790473580360413, 0.4251391291618347, 0.0, 0.0]"
11,0.6716057334627424,0.6521967318322923,"tensor(0.9528, device='cuda:0')",0.3252013921737671,0.3723674714565277,"[0.9558895230293274, 0.34491610527038574, 0.0, 0.0]","[0.9774232506752014, 0.5120466351509094, 0.0, 0.0]"
12,0.6672522374561854,0.6474473741319444,"tensor(0.9509, device='cuda:0')",0.323598712682724,0.37052246928215027,"[0.9553889036178589, 0.3390059173107147, 0.0, 0.0]","[0.9771679639816284, 0.5049219131469727, 0.0, 0.0]"
13,0.6675210884639196,0.6784350474675497,"tensor(0.9597, device='cuda:0')",0.31484127044677734,0.3592703938484192,"[0.9615095257759094, 0.29785555601119995, 0.0, 0.0]","[0.9803590774536133, 0.45672252774238586, 0.0, 0.0]"
14,0.6661429916109357,0.6504907276895311,"tensor(0.9516, device='cuda:0')",0.3229154944419861,0.3698289692401886,"[0.9559862613677979, 0.3356756567955017, 0.0, 0.0]","[0.9774776101112366, 0.5018382668495178, 0.0, 0.0]"
15,0.6620898229735238,0.6462764806217618,"tensor(0.9533, device='cuda:0')",0.32344499230384827,0.3700595498085022,"[0.9581271409988403, 0.33565282821655273, 0.0, 0.0]","[0.978596568107605, 0.501641571521759, 0.0, 0.0]"
16,0.6612140161650522,0.6525339815351698,"tensor(0.9528, device='cuda:0')",0.3235330879688263,0.3704175353050232,"[0.9564669132232666, 0.33766546845436096, 0.0, 0.0]","[0.977733314037323, 0.503936767578125, 0.0, 0.0]"
17,0.6622693572725569,0.6624870631429884,"tensor(0.9553, device='cuda:0')",0.32066285610198975,0.36682239174842834,"[0.9580991864204407, 0.3245522677898407, 0.0, 0.0]","[0.9785866141319275, 0.4887029230594635, 0.0, 0.0]"
18,0.650920249734606,0.6581928001509773,"tensor(0.9570, device='cuda:0')",0.30917888879776,0.35305535793304443,"[0.9602577686309814, 0.2764577269554138, 0.0, 0.0]","[0.9797094464302063, 0.43251195549964905, 0.0, 0.0]"
19,0.6542258143424988,0.634496099419064,"tensor(0.9592, device='cuda:0')",0.3395845592021942,0.399074524641037,"[0.9629757404327393, 0.3253156542778015, 0.0, 0.07004673033952713]","[0.9811142086982727, 0.4895554184913635, 0.0, 0.1256284862756729]"
20,0.639520868233272,0.6357772085401747,"tensor(0.9400, device='cuda:0')",0.34731778502464294,0.4166400730609894,"[0.9461106061935425, 0.33189287781715393, 0.0005709814722649753, 0.11069673299789429]","[0.9722484946250916, 0.49789679050445557, 0.0011397446505725384, 0.19527527689933777]"
21,0.6472806283405849,0.6271776490741305,"tensor(0.9554, device='cuda:0')",0.35675209760665894,0.4266839623451233,"[0.9602118730545044, 0.3383916914463043, 6.925399702595314e-06, 0.1283978968858719]","[0.9796815514564514, 0.5048534274101257, 1.3849935385223944e-05, 0.22218699753284454]"
22,0.6483347041266305,0.6357618901464674,"tensor(0.9560, device='cuda:0')",0.3488597571849823,0.4130553603172302,"[0.9600254893302917, 0.34013062715530396, 0.0, 0.09528286755084991]","[0.9795946478843689, 0.5061853528022766, 0.0, 0.16644148528575897]"
23,0.6408194746289935,0.6460151871045431,"tensor(0.9490, device='cuda:0')",0.32858285307884216,0.38854995369911194,"[0.9582242965698242, 0.272848516702652, 0.0, 0.08325862884521484]","[0.9786524176597595, 0.4255020320415497, 0.0, 0.15004537999629974]"
24,0.6403804217066084,0.6197417179743449,"tensor(0.9448, device='cuda:0')",0.3596736788749695,0.43134748935699463,"[0.94905024766922, 0.35476577281951904, 6.415195821318775e-05, 0.13481445610523224]","[0.9738262891769409, 0.523383617401123, 0.0001282902667298913, 0.2280517965555191]"
25,0.6305053080831255,0.6109272374047173,"tensor(0.9555, device='cuda:0')",0.3612871468067169,0.42902544140815735,"[0.9608272910118103, 0.3626001179218292, 3.104157804045826e-05, 0.12169007211923599]","[0.9799975156784058, 0.531233012676239, 6.206581747392192e-05, 0.2048092782497406]"
26,0.6373494829450335,0.6840442617734274,"tensor(0.9408, device='cuda:0')",0.33547690510749817,0.3953654170036316,"[0.9463394284248352, 0.3206357955932617, 0.0, 0.0749325081706047]","[0.9724019169807434, 0.4849814772605896, 0.0, 0.12407828867435455]"
27,0.6310695563043867,0.620814753903283,"tensor(0.9525, device='cuda:0')",0.35684677958488464,0.4264833629131317,"[0.9575735926628113, 0.33885255455970764, 0.005410652607679367, 0.1255502700805664]","[0.9783086776733398, 0.5046727657318115, 0.010744101367890835, 0.21220794320106506]"
28,0.6295028669493539,0.600117650296953,"tensor(0.9540, device='cuda:0')",0.36341407895088196,0.43647322058677673,"[0.9602915644645691, 0.33699527382850647, 0.0041888984851539135, 0.1521805375814438]","[0.9797326326370239, 0.5022786259651184, 0.00833392795175314, 0.2555476725101471]"
29,0.6295384509222848,0.6035797595977783,"tensor(0.9423, device='cuda:0')",0.36295631527900696,0.4401826858520508,"[0.9483597278594971, 0.3360869884490967, 0.0147961201146245, 0.15258239209651947]","[0.9734652638435364, 0.5026009678840637, 0.028943771496415138, 0.25572067499160767]"
30,0.621641857283456,0.594744410779741,"tensor(0.9506, device='cuda:0')",0.3694806396961212,0.44553935527801514,"[0.9562241435050964, 0.360350102186203, 0.010318722575902939, 0.15102966129779816]","[0.9775879979133606, 0.5291635990142822, 0.020137904211878777, 0.25526800751686096]"
31,0.6165713293211801,0.6274975405799018,"tensor(0.9545, device='cuda:0')",0.3538394570350647,0.4212267994880676,"[0.9578331112861633, 0.3288074731826782, 0.002016949001699686, 0.12670020759105682]","[0.9784413576126099, 0.4941749572753906, 0.004005229566246271, 0.2082856446504593]"
32,0.6218242934771947,0.5671820441881815,"tensor(0.9513, device='cuda:0')",0.39451608061790466,0.4806933104991913,"[0.9561534523963928, 0.38523876667022705, 0.01986832544207573, 0.21680372953414917]","[0.9775691628456116, 0.5557710528373718, 0.03860034421086311, 0.3508327007293701]"
33,0.6242846012115478,0.620422727531857,"tensor(0.9589, device='cuda:0')",0.356681227684021,0.4222220778465271,"[0.9629285931587219, 0.3633185029029846, 0.008872426114976406, 0.09160541743040085]","[0.9811031818389893, 0.5316616892814636, 0.01737617701292038, 0.15874721109867096]"
34,0.5982278755732945,0.605207085609436,"tensor(0.9560, device='cuda:0')",0.35888493061065674,0.4295010268688202,"[0.9614342451095581, 0.3402041494846344, 0.008230392821133137, 0.12567101418972015]","[0.9803281426429749, 0.50590980052948, 0.016229933127760887, 0.2155362069606781]"
35,0.6079251067978996,0.6247414615419176,"tensor(0.9589, device='cuda:0')",0.3603484630584717,0.4304855465888977,"[0.9630627036094666, 0.34091871976852417, 0.016077959910035133, 0.12133446335792542]","[0.9811708927154541, 0.5068373084068298, 0.03136138990521431, 0.2025725245475769]"
