Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,IoU,Dice Score,Per-class Accuracy
1,0.883210322686604,0.8471273912323846,"tensor(0.8852, device='cuda:0')","[tensor(0.8865, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9397, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9008, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(153.6575, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
2,2.436751730101449,0.7768096460236443,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
3,0.777399230003357,0.72275400824017,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
4,0.7498319455555507,0.7353885041342841,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
5,0.7481485537120274,0.7094606823391385,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
6,0.7243439129420689,0.6841484506924947,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
7,0.723745437179293,0.728625562455919,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
8,0.7164390853473118,0.6707573533058167,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
9,0.7010366712297712,0.7340238756603665,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
10,0.6935306940759931,0.6752184066507552,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
