Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,IoU,Dice Score,Per-class Accuracy
1,0.8271871643407004,0.8094207247098287,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
2,0.7663703271320887,0.7288547621832954,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1.0000, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1882, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
3,0.7469293594360351,0.7088427146275839,"tensor(0.9829, device='cuda:0')","[tensor(0.9830, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9914, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9985, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.9553, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
4,0.7241471784455435,0.7022773093647428,"tensor(0.9843, device='cuda:0')","[tensor(0.9843, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0004, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0008, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9999, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1764, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
5,0.7216426917484828,0.6854066981209649,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
6,0.7166656970977783,0.6969128847122192,"tensor(0.9844, device='cuda:0')","[tensor(0.9844, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(1., device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1885, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
7,0.6963051514966148,0.6881997452841865,"tensor(0.9811, device='cuda:0')","[tensor(0.9813, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9905, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0248, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9968, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.7060, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
8,0.6990717496190753,0.6712984873188866,"tensor(0.9816, device='cuda:0')","[tensor(0.9818, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9908, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0097, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9974, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.7343, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
9,0.6865392020770482,0.6711462603674995,"tensor(0.9836, device='cuda:0')","[tensor(0.9837, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0076, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9918, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9993, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.0331, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
10,0.6859776820455279,0.6618894868426852,"tensor(0.9780, device='cuda:0')","[tensor(0.9783, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9890, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0359, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9938, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.1299, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
11,0.6877357585089547,0.6821416682667203,"tensor(0.9819, device='cuda:0')","[tensor(0.9821, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9909, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9976, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.7856, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
12,0.6818619097982134,0.6496406926049126,"tensor(0.9808, device='cuda:0')","[tensor(0.9810, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0240, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9904, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0460, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9966, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.6096, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
13,0.6938765568392617,0.6800691352950202,"tensor(0.9825, device='cuda:0')","[tensor(0.9826, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0072, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9912, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9982, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.9071, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
14,0.6771460567201887,0.6610595418347253,"tensor(0.9776, device='cuda:0')","[tensor(0.9779, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9888, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0363, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9934, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.9917, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
15,0.6787086512361254,0.6606241100364261,"tensor(0.9763, device='cuda:0')","[tensor(0.9766, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9882, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0359, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.8727, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
16,0.668758464711053,0.6415060725477006,"tensor(0.9802, device='cuda:0')","[tensor(0.9805, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9901, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0219, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9960, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.5175, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
17,0.6617734381130763,0.6256864236460792,"tensor(0.9780, device='cuda:0')","[tensor(0.9784, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0212, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9890, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0410, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9939, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.1454, device='cuda:0'), tensor(738.8536, device='cuda:0')]"
18,0.6564430918012346,0.6393688950273726,"tensor(0.9713, device='cuda:0')","[tensor(0.9719, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0260, device='cuda:0'), tensor(0.0001, device='cuda:0')]","[tensor(0.9857, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0502, device='cuda:0'), tensor(0.0003, device='cuda:0')]","[tensor(0.9873, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.1502, device='cuda:0'), tensor(738.7237, device='cuda:0')]"
